Stanley Kubrick
Stanley Tucci
Stefanie Powers
Stella Stevens
Stéphane Audran
Stéphane Freiss
Stephen Boyd
Stephen Chow
Stephen Dorff
Stephen Lang
Steptoe & Son
Sterling Hayden
Steve Buscemi
Steve Martin
Steve McQueen
Steve Reeves
Steven Seagal
Steven Spielberg
Steven Strait
Stewart Granger
Stockard Channing
Stuart Townsend
Sue Lyon
Surya Sivakumar
Susan Hayward
Susan Sarandon
Susannah York
Sushmita Sen
Swastika Mukherjee
Sylva Koscina
Sylvester Stallone
Sylvia Kristel
Sylvia Sidney
Sylvie Testud
Tab Hunter
Tahar Rahim
Takeshi Kaneshiro
Takeshi Kitano
Talia Shire
Talisa Soto
Tallulah Bankhead
Tamannaah
Tamara Dobson
Tara Reid
Taraji P. Henson
Tatum O’Neal
Taye Diggs
Taylor Lautner
Tchéky Karyo
Tea Leoni
Ted Levine
Telly Savalas
Terence Hill
Terence Stamp
Teresa Palmer
Thandie Newton
Theda Bara
Theo James
Thierry Lhermitte
Thomas Kretschmann
Thora Birch
Til Schweiger
Tilda Swinton
Tim Burton
Tim Curry
Tim DeKay
Tim Oliver Schultz
Tim Robbins
Tim Roth
Timothée Chalamet
Timothy Dalton
Timothy Spall
Tina Aumont
Tina Fey
Tippi Hedren
Tobey Maguire
Tobin Bell
Toby Stephens
Tom Baker
Tom Berenger
Tom Cruise
Tom Felton
Tom Hanks
Tom Hiddleston
Tom Holland
Tom Hulce
Tom Riley
